title|usage|meaning
～あげる／やる／差し上げる（さしあげる）|[主語（与え手）] は [受け手] に [物] をあげる[主語（与え手）] から [受け手] に [物] をあげる|给…
～あまり|数字＋助数詞＋あまり|…多
～あまり／～あまりに／～のあまり／～のあまりに|名詞＋のあまり（に）動詞＋あまり（に）（ナ形容詞語幹＋なあまり）|过度…过于…太…由于过度…而…
～間／間に|名詞＋の＋間／間に動詞普通形＋間／間に|在…期间在…之间趁…时候
～後に／後で|名詞＋の後で（あとで）名詞＋の後に（あとに）名詞＋後（ご）時間名詞＋後（ご）動た形＋後で動た形＋後に|…之后
～合う|動ます形＋合う|互相…
～上がる（あがる）／上げる（あげる）|動ます形＋上がる|①…完成了／…好了／成起来②…起来／向上…③極限状態
あまり～と／あまりに～と／あまりにも～と／あんまり～と／あんまりにも～と|あまりにも＋イ形容詞＋とあまりにも＋ナ形容詞＋だとあまりにも＋動詞＋と|过于…（的话）,（要是）太…
あまり～ない／あんまり～ない|あまり／あんまり＋ナ形容詞＋ではないあまり／あんまり＋イ形容詞語幹＋くないあまり＋動ない形|不太…不（没）怎么…没多少…
あまりに～／あまりにも～／あんまりにも～|あまりに（も）＋イ形容詞あまりに（も）＋ナ形容詞あまりに（も）＋動詞|太…总是…
あまりの～に／あまりの～で|あまりの＋名詞＋にあまりの＋名詞＋で|太…过度…
～以上／以上は／上は|名詞＋である以上（は）動詞普通形＋以上（は）／上は動た形＋上はい形普通形＋以上（は）な形普通形＋である／な＋以上（は）|既然…就…
～以来|名詞＋以来動て形＋以来|自从…以来以后～てから今までずっと～
～一方（で）|動詞普通形＋一方（で）い形容詞辞書形＋一方（で）な形容詞語幹＋な／である＋一方（で）名詞＋の／である＋一方（で）|一方面…，另一方面……的同时…与…相反
～一方／一方で／一方では～他方では～|動詞普通形＋一方（で）い形辞書形＋一方（で）な形語幹＋な／である＋一方（で）名詞＋である＋一方（で）一方では＋文、他方では＋文|"①一方面…另一方面…一边…一边……的同时…
②一方面…而另一方面却…与…相反"
～一方だ|動詞辞書形＋一方だ名詞＋の一方だ|不断地…越来越…一直…一个劲儿…
未だかつて～ない（いまだかつて～ない）|いまだかつて＋動ない形＋ないいまだかつて＋動た形＋ことがないいまだかつてなく＋形容詞|未曾…没有…
未だに～ない（いまだに～ない）|いまだ（に）＋動ない形＋ない|还（没有）仍古（未）
～うちが|名詞＋のうちがな形容詞語幹＋なうちがい形容詞普通形＋うちが動詞辞書形／動ている形＋うちが|在…时最…
～うちに／～ないうちに／～ているうちに／～ていないうちに|名詞＋のうちにな形容詞語幹＋なうちにな形容詞語幹＋ではないうちにい形容詞普通形＋うちに動ない形＋ないうちに動詞ている形＋うちに動詞辞書形＋うちに|在…之内在…过程中…趁…时趁还没…趁没…还没有…的时候…着…着
～うちは|名詞＋のうちはな形容詞語幹＋なうちはい形容詞普通形＋うちは動ている形＋うちは動ない形＋ないうちは|在…的时候在还没…的时候
～上／上に|動詞普通形＋上にい形容詞普通形＋上にな形容詞語幹＋な／である＋上に名詞＋である＋上に|不仅…而且…加上…
～上で（は）／～上での|名詞＋の＋上で（は）／上での動詞辞書形＋上で（は）／上での|在…方面在…上根据…来看
～おかげで／おかげだ|名詞＋の＋おかげで／おかげだ動詞普通形＋おかげで／おかげだい形容詞普通形＋おかげで／おかげだな形形容詞＋な＋おかげで／おかげだ|多亏…才…托…的福
～おきに|名詞＋おきに|每隔…～間隔でその間隔を空けて～
～恐れがある（おそれがある）|名詞＋の恐れがある動詞辞書形＋恐れがある動ない形＋恐れがある|恐怕会…／恐怕要…有…的危险有可能…～かもしれない（悪いこと）
～終わる／～終える|動ます形＋終わる（おわる）動ます形＋終える（おえる）|…完结束
お／ご～くださる／ください|お／ご＋一段動詞ます形＋くださる／くださいお／ご＋五段動詞ます形＋くださる／くださいご＋サ変動詞語幹＋くださる／ください|-
お／ご～する／します／致す／致します|お／ご＋一段動詞ます形＋する／します／いたす／いたしますお／ご＋五段動詞ます形＋する／します／いたす／いたしますご＋サ変動詞語幹＋する／します／いたす／いたします|-
お／ご～です|お／ご＋一段動詞ます形＋ですお／ご＋五段動詞ます形＋ですご＋サ変動詞語幹＋です|-
お／ご～なさる／なさいます|お／ご＋一段動詞ます形＋なさる／なさいますお／ご＋五段動詞ます形＋なさる／なさいますご＋サ変動詞語幹＋なさる／なさいます|-
お／ご～になる／になります|お／ご＋一段動詞ます形＋になる／になりますお／ご＋五段動詞ます形＋になる／になりますご＋サ変動詞語幹＋になる／になります|-
お／ご～になれる／になれます|お／ご＋一段動詞ます形＋になれる／になれますお／ご＋五段動詞ます形＋になれる／になれますご＋サ変動詞語幹＋になれる／になれます|您能够…您可以…
お／ご～申し上げる／申し上げます|お／ご＋一段動詞ます形＋申し上げる／申し上げますお／ご＋五段動詞ます形＋申し上げる／申し上げますご＋サ変動詞語幹＋申し上げる／申し上げます|-
お／ご～頂く／頂きます|お／ご＋一段動詞ます形＋頂く／頂きますお／ご＋五段動詞ます形＋頂く／頂きますご＋サ変動詞語幹＋頂く／頂きます|-
お／ご～頂けませんか／願えませんか|お／ご＋一段動詞ます形＋頂けますか／頂けませんかお／ご＋五段動詞ます形＋頂けますか／頂けませんかご＋サ変動詞語幹＋頂けますか／頂けませんか|能否请您…
～かどうか|動詞辞書形／動詞た形＋かどうかい形容詞＋（の）＋かどうかな形容詞語幹＋（である／なの）＋かどうか名詞＋（である／なの）＋かどうか|是否…
～かもしれない|動詞普通形＋（の）かもしれないい形容詞＋（の）かもしれないな形容詞語幹＋（なの）かもしれない名詞＋（なの）かもしれない|也许…可能…
～から|動詞普通形＋からい形容詞普通形＋からな形容詞語幹＋だ／である＋から名詞＋だ／である＋から|①因为…／由于…②-③警告、安慰
～から～にかけて／にかけ|名詞＋から＋名詞＋にかけて名詞＋から＋名詞＋にかけ|从…到…～から～まで
～からすると／からすれば／からしたら|名詞＋からすると名詞＋からすれば名詞＋からしたら|从…来看从…来衡量～から判断すると
～からなる／からできている|名詞＋からなる名詞＋からできている|由…构成由…组成～で作られている～から成り立っている～で構成されている
～から見ると／から見れば／から見て／から見ても|名詞＋から見ると|从…来看
～から言うと／から言えば／から言ったら／から言って|名詞＋から言うと名詞＋から言えば名詞＋から言ったら名詞＋から言って|从…来说从…来讲
～か何か|動詞普通形＋か何か名詞＋か何か|…什么的…之类的～やあるいは～
～代わりに（かわりに）|動詞普通形＋代わりにい形容詞普通形＋代わりにな形語幹＋な＋代わりに名詞＋の＋代わりに|①代替…／交换②虽然…但是…③取代…④不…而…／…同时，（条件是）…
～返す|動ます形＋返す|①逆方向への対抗②元の状態に戻ってもう一度～する
～方|動詞ます形＋方（かた）|…的方法
～がかり|名詞＋がかり|花…用…一起…
～がする|名詞＋がする|感到…
～がたい|動ます形＋がたい|难以…很难…～することが難しい（～できない）
～がち|動ます形＋がち名詞＋がち|常常…容易…往往会…动不动就…
～がる／がっている|い形容詞語幹＋がる／がっているな形容詞語幹＋がる／がっている|感到…觉得…
～が欲しい／は欲しくない／を欲しがる／を欲しがっている|名詞＋が欲しい名詞＋は欲しくない名詞＋を欲しがる／欲しがっている|想要…
～切る／きる／きれる／きらない／きれない|動ます形＋きる動ます形＋きれる動ます形＋きれない|…完～し終わる十分…／非常…完全に～になる
～気味|名詞＋気味動ます形＋気味|稍微…有点儿…
～くせに／くせして|動詞普通形＋くせに／くせしてい形容詞普通形＋くせに／くせしてな形容詞語幹＋な＋くせに／くせして名詞＋の＋くせに／くせして|明明…却…虽然…但是…～のに
～くらい／ぐらい|動詞普通形＋くらい／ぐらいイ形普通形＋くらい／ぐらいナ形語幹＋な＋くらい／ぐらい名詞＋くらい／ぐらい|这么一点点不那么重要微不足道
～くれる／くださる（下さる）|[主語（与え手）] は [私] に [物] をくれる[主語（与え手）] から [私] に [物] をくれる|给…
～ことがある／こともある|動詞辞書形＋ことがある／こともある動詞ない形＋ことがある／こともある|有时…偶尔…
～ことができる|動詞辞書形＋ことができる|能…会…可以…
～ことだ|"①動詞辞書形＋ことだ動ない形＋ない＋ことだ
②動詞辞書形＋ことだい形容詞＋ことだな形容詞＋なことだ"|①应该…／不要…／就得…②…啊（感情の強調）
～ことに|動た形＋ことに動ない形＋ことにイ形辞書形＋ことにナ形語幹＋なことに|令人…的是…
～ことにする／こととする|動詞辞書形＋ことにする／こととする動詞ない形＋ことにする／こととする|（我）决定…～することに決める
～ことになっている／こととなっている|動詞辞書形＋（という）ことになっている動詞ない形＋（という）ことになっている名詞＋ということになっている|预定…规定…～と決まっている
～ことになる／こととなる|動詞辞書形＋ことになる／こととなる動詞ない形＋ことになる／こととなる|决定…～することに決まる
～ことはない／こともない|動詞辞書形＋ことはない動詞辞書形＋こともない|不必…用不着…～する必要はない～しなくてもいい
～込む|動ます形＋込む|装入进入深入地…持续地…
～ございます|名詞＋でございます名詞＋がございますナ形容詞語幹＋でございます|-
～毎に（ごとに）|名詞＋毎に動詞辞書形＋毎に|每…～度に
～（さ）せられる（使役受身／使役受動態）|五段動詞のない形＋せられる／される一段動詞のない形＋させられるする→させられる来る→来させられる|被迫…不由得…
～さ|い形容詞語幹＋さな形容詞語幹＋さ|…度…之大
～さえ／さえも|名詞＋さえ／さえも助詞（に／から／で／の／と）＋さえ／さえも人物を表す名詞＋（で）＋さえ／さえも|甚至…连…都…～も
～さえ～ば|動ます＋さえ～ばい形容詞語幹＋さえ～ばな形容詞語幹＋さえ～ば名詞＋さえ～ば|只要…就…
～させていただく／させていただきます|五段動詞のない形＋せていただく一段動詞のない形＋させていただくする→させていただく来る→来させていただく|请让我…请允许我…
～させてくださる／させてください|五段動詞のない形＋せてくださる／ください一段動詞のない形＋させてくださる／くださいする→させてくださる／ください来る→来させてくださる／ください|请允许…让我来…
～させてやって頂けませんか|五段動詞のない形＋せてやって頂けませんか一段動詞のない形＋させてやって頂けませんかする→させてやって頂けませんか来る→来させてやって頂けませんか|能否让…做呢
～最中／真っ最中|動詞ている形＋最中／真っ最中名詞＋の＋最中／真っ最中|正在…的时候ちょうど～しているところ
～しか～ない|名詞（＋助詞）＋しか～ない|只有…
～しかない|動詞辞書形＋しかない|只好…～ほかない
～したい／したくない／したがる／したがっている|動ます形＋たい／たくない動ます形＋たがる／たがっている|想…想要…愿意…
～上／上は／上も／上の|名詞＋上（じょう）|从…上来看在…上…方面
～過ぎる／が過ぎる（すぎる）|動ます形＋過ぎるい形容詞語幹＋過ぎるな形容詞語幹＋過ぎる名詞＋（が）過ぎる|过于…太…非常に～甚だしく～
～末（に）／末の|名詞＋の＋末（に）／末の動た形＋末（に）／末の|经过…最后……之后，结果…最后…～した結果～
～ず（に）|動詞ない形＋ず（に）|不…就…因为没有…而…～しないで～
～ずとも|動ない形＋ずとも|即使不…也…～なくても
～ずに済む／ないで済む／なくて済む|動ない形＋ずに済む動ない形＋ないで済む動ない形＋なくて済む|不…就解决了不…（也可以解决）不用…就可以了不用…没用…没有…
～せいで／せいか／せいだ／せいにする|動詞普通形＋せいで／せいか／せいだ／せいにするい形容詞普通形＋せいで／せいか／せいだ／せいにするな形容詞語幹＋な＋せいで／せいか／せいだ／せいにする名詞＋の（な）＋せいで／せいか／せいだ／せいにする|因为…都怪…大概是因为…吧～が原因で～だから
～せる／させる（使役態）|五段動詞のない形＋せる一段動詞のない形＋させるする→させる来る→来させる|让…使…
～そうだ|"①伝聞名詞＋だそう／だったそうナ形語幹＋なそうだ／だそうだイ形普通形＋そうだ動詞普通形＋そうだ
②様態イ形語幹＋そうだナ形語幹＋そうだ動ます形＋そうだ（～そうに＋動詞）（～そうな＋名詞）"|"①听说根据
②好像…几乎…显得…似的眼看就要…可能要…快要…会要…"
～そうにする／そうにしている|イ形語幹＋そうにする／そうにしているナ形語幹＋そうにする／そうにしている|显得…的样子
～そうにない／そうもない|動ます形＋そうにない動ます形＋そうもない|看样子不会…
～そうになる|動ます形＋そうになる|差点儿…险些…
～そうに見える|イ形語幹＋（さ）そうに見えるナ形語幹＋そうに見える※動テ形＋（い）そうに見える|看上去显得…
～たいものだ|動ます形＋たいものだ|真想…啊～したい～してみたい
～たきり～（ない）／～たっきり～（ない）|動た形＋きり～（ない）／っきり～（ない）時間を表す名詞＋きり～（ない）／っきり～（ない）（時間を表す）これ／それ／あれ＋きり～（ない）／っきり～（ない）|一…就再没…只…再没…～て以来
～たことがある／たことがない|動詞た形＋たことがある動詞た形＋たことがない|（曾经）…过
～たことにする／たこととする|動た形＋（という）ことにする名詞＋（だ）ということにするな形容詞語幹（＋だ）ということにする|就当作…算作作为～と見なす
～たことになる／たこととなる|動た形＋（という）ことになる動た形＋（という）こととなる|～と見なされる。
～たつもりで|動た形＋つもりで|就当是…认为是…就算是…当做…一样
～たところだ|動た形＋ところだ|刚刚…
～たばかりだ|動た形＋ばかり|刚刚…～し終わってすぐ
～たはずだ|動た形＋はずだ|的确…确实…
～たまえ|動ます形＋たまえ|～してください（命令調）～しなさい
～ため／ために（為に）|"①目的名詞＋の＋ため（に）動詞辞書形＋ため（に）
②恩返し人物名／集団名＋のため（に）
③原因・理由動詞普通形＋ため（に）い形容詞普通形＋ため（に）な形容詞語幹＋な＋ため（に）名詞＋の＋ため（に）"|"①目的　②恩返し为了…
③原因・理由由于…因为…"
～たらどうですか／てはどうですか／てみたらどうですか|動た形＋らどうですか動て形＋てみたらどうですか|…那样做怎么样…的话怎么样？
～た上／～た上で／～の上／～の上で|動た形＋上（で）名詞＋の上（で）|在…之后
～度に（たびに）|名詞＋の＋度に動詞辞書形＋度に|每当…每次…～ときいつも毎回～
たとえ～ても／たとい～ても|たとえ＋動て形＋もたとえ＋い形容詞語幹＋く＋てもたとえ＋な形容詞語幹＋でもたとえ＋名詞＋でも|即使…也…
～だけ|名詞＋（助詞）＋だけな形容詞＋な＋だけい形容詞普通形＋だけ動詞普通形＋だけ|只…光…只有…只是…就是…
～だけでなくて／だけじゃなくて|動詞普通形＋だけでなくい形容詞普通形＋だけでなくな形容詞語幹＋な／である＋だけでなく名詞＋だけでなく|不但…而且…不光…还…不仅…也…
～だけでは～ない|動詞普通形＋だけでは～ないい形容詞普通形＋だけでは～ないな形容詞語幹＋な＋だけでは～ない名詞＋だけでは～ない|光是…的话
～だらけ|名詞＋だらけ|净是…满是…全是…
～出す|動ます形＋出す|①動作の開始②内側から外側への移動③創造・創出
～っけ|動詞辞書形＋っけ／んだっけ／んだったっけ動た形＋っけ／んだっけい形容詞語幹＋かったっけな形容詞語幹＋だっけ／だったっけ／なんだっけ名詞＋だっけ／だったっけ／なんだっけ|是不是…来着。
～つもりだ／ないつもりだ／～つもりはない|動詞辞書形＋つもり動詞辞書形＋つもりはない動ない形＋ないつもり|打算…准备…不打算…不准备…
～続ける|動ます形＋続ける|继续…
つまり～／即ち（すなわち）～|文や単語＋つまり＋文や単語文や単語＋すなわち＋文や単語|即也就是…就是说…换句话说
～てあげる／てやる／て差し上げる（さしあげる）|[主語（与え手）] は [受け手] に [物事] を＋動て形＋あげる[主語（与え手）] から [受け手] に [物事] を＋動て形＋あげる|帮别人…为你…
～てある|他動詞て形＋ある|①…着②（事先）…好了
～ていらっしゃる／ていらっしゃいます／ておいでになる／ておいでになります|名詞＋で＋いらっしゃる／おいでになるイ形容詞語幹＋くて＋いらっしゃる／おいでになるナ形容詞語幹＋で＋いらっしゃる／おいでになる動て形＋いらっしゃる／おいでになる|-
～ている／ておる|動て形＋ている動て形＋ておる|正…着／正在…已经…了以前…／曾经…
～ているところだ|動ている形＋ところだ|正在…
～ておく／とく|動て形＋おく|事先（做好）…
～てから|動て形＋から|…之后再…然后…
～てください／てちょうだい／ないでください／ないでちょうだい／てくれ|動て形＋ください／ちょうだい動ない形＋ないでください／ないでちょうだい|请…请不要…能否请您…
～てくれる／てくださる（下さる）|[主語（与え手）] は [私] に [物事] を＋動て形＋くれる[主語（与え手）] から [私] に [物事] を＋動て形＋くれる|为我…
～てごらん／てごらんなさい|動て形＋ごらん動て形＋ごらんなさい|请…试试～してみて。～しなさい。
～てしまう／ちゃう／でしまう／じゃう|動て形＋しまう動て形の「テ」＋ちゃう／じゃう|①…完／…了②表示后悔,遗憾
～てしょうがない／てしかたがない／てしようがない|動て形＋しょうがないい形容詞語幹＋くてしょうがないな形容詞語幹＋でしょうがない|…得不得了非常…特别……死了
～てたまらない|動て形＋たまらないい形容詞語幹＋くてたまらないな形容詞語幹＋でたまらない|…得不得了非常…特别……死了
～てならない|動て形＋ならないい形容詞語幹＋くてならないな形容詞語幹＋でならない|…得不得了非常…特别…不由得…
～てはいけない／てはだめだ／てはならない|動て形＋はいけない／ちゃいけない／じゃいけない動て形＋はだめだ／ちゃだめだ／じゃだめだ動て形＋はならない／ちゃならない／じゃならない|不可以…不能…不准…不要…
～てばかり／てばかりいる|動て形＋ばかり動て形＋ばかりいる|总是…光是…只…一个劲儿地…老是…
～てはじめて／てみてはじめて|動て形＋はじめて動て形＋みてはじめて|…以后，才…在…之后才…～してからやっと～する
～てほしい|動て形＋ほしい|希望…
～てみる|動て形＋みる|试试…试着…看看看……一下
～てみると／てみたら|動て形＋みると／みたら|试一试…一下那么一做…
～ても～ても|動て形＋も＋動て形＋もい形容詞て形＋も＋い形容詞て形＋もな形容詞語幹＋でも＋な形容詞語幹＋でも名詞＋でも＋名詞＋でも|不论…不论…
～ても～なくても|動て形＋も＋動ない形＋なくても|不管…与否不论…不…
～てもいい／でもいい|動て形＋もいいい形容詞語幹＋くてもいいな形容詞語幹＋でもいい名詞＋でもいい|可以……也行…也好
～てもしょうがない／てもしかたがない／てもしようがない／たってしょうがない／たってしかたがない／たってしようがない|"動て形＋もしょうがないい形容詞語幹＋くてもしようがないな形容詞語幹＋でもしょうがない名詞＋でもしょうがない
動た形＋ってしょうがないい形容詞語幹＋くたってしょうがないな形容詞語幹＋だってしょうがない名詞＋だってしょうがない"|即使…也没用即使…也无可奈何
～てもみない／～てもみなかった／～とは～てもみなかった|（まさか）動て形＋もみなかった（まさか）動詞普通形＋とは＋動て形＋もみなかった|根本没…压根儿没…
～てもみないで|動て形＋もみないで～|没…
～てもよろしいですか／てもよろしいでしょうか|動て形＋もよろしいですか|…可以吗…行吗
～てもらう／て頂く（いただく）|[主語（受け手）] は [与え手] に [物事] を＋動て形＋もらう[主語（受け手）] は [与え手] から [物事] を＋動て形＋もらう|为我…
～ても構わない（かまわない）|動て形＋もかまわないい形容詞語幹＋くて＋もかまわないな形容詞語幹＋で＋もかまわない名詞＋で＋もかまわない|…也可以…也没有关系即使…也没有关系即使…也无可奈何
～ても始まらない|動て形＋も始まらない|即使…也没用即使…也无济于事
～てよかった／なくてよかった|"動て形＋よかった動ない形＋なくてよかった
名詞／ナ形語幹＋でよかった名詞／ナ形語幹＋ではなくてよかった／じゃなくてよかった
イ形語幹＋くてよかったイ形語幹＋くなくてよかった"|幸好……太好了没有做…太好了
～て済む／で済む|動て形＋済む名詞＋で＋済むい形容詞語幹＋くて済む|…就解决了…就办好了
～て頂けますか／て頂けませんか|動て形＋て頂けますか／頂けませんか|能否请您…呢可以帮忙…吗
～て頂けるとありがたい／て頂けると幸いです|動て形＋頂けるとありがたい|您要能…的话,那太好了
～です／ではありません／でした／ではありませんでした|名詞＋は＋名詞＋です名詞＋は＋名詞＋ではありません名詞＋は＋名詞＋でした名詞＋は＋名詞＋ではありませんでした|…是……不是…
